iter	Passed	Remaining
468	694	786
469	695	784
470	696	781
471	698	781
472	699	779
473	700	777
474	701	775
475	702	773
476	703	771
477	704	768
478	704	766
479	705	764
480	706	762
481	707	760
482	708	758
483	709	756
484	710	754
485	713	754
486	714	752
487	715	750
488	716	748
489	717	746
490	717	744
491	718	742
492	719	740
493	720	738
494	721	736
495	722	734
496	723	732
497	724	729
498	724	727
499	728	728
500	729	726
501	729	724
502	730	722
503	731	720
504	732	718
505	733	716
506	734	714
507	735	712
508	736	710
509	737	708
510	737	706
511	738	704
512	739	702
513	740	700
514	741	698
515	742	696
516	743	694
517	744	692
518	745	690
519	746	688
520	747	687
521	748	685
522	755	688
523	756	687
524	758	686
525	759	684
526	761	683
527	762	681
528	763	680
529	765	678
530	765	676
531	766	674
532	769	673
533	770	672
534	771	670
535	771	668
536	772	666
537	773	664
538	774	662
539	775	660
540	776	658
541	777	656
542	778	654
543	778	652
544	779	650
545	780	648
546	781	646
547	781	644
548	783	643
549	784	641
550	785	639
551	785	637
552	786	635
553	787	634
554	788	632
555	789	630
556	790	628
557	791	626
558	791	624
559	792	622
560	793	620
561	794	618
562	796	618
563	797	616
564	798	614
565	799	613
566	800	611
567	801	609
568	802	607
569	802	605
570	803	603
571	804	601
572	805	600
573	806	598
574	807	596
575	807	594
576	808	592
577	812	593
578	814	592
579	815	590
580	816	588
581	817	587
582	818	585
583	818	583
584	819	581
585	820	579
586	821	577
587	822	576
588	822	574
589	823	572
590	826	572
591	827	570
592	828	568
593	829	566
594	829	564
595	830	563
596	831	561
597	832	559
598	833	557
599	833	555
600	834	554
601	835	552
602	836	550
603	837	548
604	837	547
605	840	546
606	841	544
607	842	543
608	843	541
609	844	539
610	845	538
611	845	536
612	846	534
613	847	532
614	848	531
615	849	529
616	850	527
617	851	526
618	852	524
619	855	524
620	856	522
621	856	520
622	857	519
623	858	517
624	859	515
625	860	513
626	860	512
627	861	510
628	862	508
629	863	506
630	863	505
631	864	503
632	865	501
633	866	500
634	867	498
635	869	497
636	870	496
637	871	494
638	872	492
639	873	491
640	874	489
641	875	488
642	876	486
643	877	484
644	877	483
645	878	481
646	879	480
647	880	478
648	883	477
649	884	476
650	885	474
651	885	472
652	886	471
653	887	469
654	888	467
655	889	466
656	889	464
657	890	462
658	891	461
659	892	459
660	893	458
661	894	456
662	895	454
663	897	454
664	898	452
665	899	451
666	900	449
667	901	447
668	901	446
669	902	444
670	903	442
671	904	441
672	905	439
673	905	438
674	906	436
675	907	434
676	908	433
677	908	431
678	909	430
679	912	429
680	913	428
681	914	426
682	915	425
683	916	423
684	917	421
685	918	420
686	919	418
687	919	417
688	920	415
689	921	414
690	922	412
691	923	410
692	923	409
693	924	407
694	927	407
695	928	405
696	929	403
697	930	402
698	930	400
699	931	399
700	932	397
701	933	396
702	934	394
703	935	393
704	935	391
705	936	390
706	937	388
707	939	387
708	941	386
709	942	385
710	944	383
711	945	382
712	947	381
713	948	380
714	950	378
715	952	377
716	953	376
717	958	376
718	959	375
719	961	373
720	962	372
721	964	371
722	965	370
723	967	368
724	968	367
725	973	367
726	975	366
727	976	364
728	977	363
729	978	362
730	980	360
731	981	359
732	982	357
733	987	357
734	988	356
735	990	355
736	993	354
737	994	353
738	995	351
739	997	350
740	998	349
741	1002	348
742	1004	347
743	1006	346
744	1007	345
745	1009	343
746	1010	342
747	1012	341
748	1017	341
749	1019	339
750	1020	338
751	1022	337
752	1023	335
753	1024	334
754	1025	332
755	1026	331
756	1027	329
757	1030	328
758	1031	327
759	1032	326
760	1033	324
761	1034	323
762	1035	321
763	1037	320
764	1038	319
765	1040	317
766	1041	316
767	1045	315
768	1046	314
769	1047	312
770	1048	311
771	1049	310
772	1050	308
773	1051	307
774	1052	305
775	1053	304
776	1054	302
777	1055	301
778	1056	299
779	1057	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	291
785	1064	289
786	1065	288
787	1066	286
788	1067	285
789	1068	284
790	1069	282
791	1070	281
792	1073	280
793	1074	278
794	1075	277
795	1076	275
796	1078	274
797	1080	273
798	1081	271
799	1082	270
800	1082	269
801	1083	267
802	1084	266
803	1086	264
804	1087	263
805	1088	262
806	1090	260
807	1090	259
808	1091	257
809	1092	256
810	1093	254
811	1094	253
812	1095	251
813	1096	250
814	1097	249
815	1098	247
816	1099	246
817	1100	244
818	1102	243
819	1104	242
820	1105	240
821	1106	239
822	1107	238
823	1108	236
824	1109	235
825	1110	233
826	1110	232
827	1113	231
828	1114	229
829	1115	228
830	1116	227
831	1117	225
832	1118	224
833	1119	222
834	1120	221
835	1121	219
836	1122	218
837	1122	217
838	1123	215
839	1124	214
840	1125	212
841	1127	211
842	1129	210
843	1129	208
844	1130	207
845	1131	206
846	1132	204
847	1133	203
848	1134	201
849	1135	200
850	1136	199
851	1137	197
852	1138	196
853	1139	194
854	1141	193
855	1142	192
856	1143	190
857	1144	189
858	1145	188
859	1146	186
860	1146	185
861	1147	183
862	1148	182
863	1149	180
864	1150	179
865	1150	178
866	1151	176
867	1152	175
868	1153	173
869	1154	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1161	164
876	1162	162
877	1162	161
878	1163	160
879	1164	158
880	1165	157
881	1166	156
882	1167	154
883	1168	153
884	1170	152
885	1171	150
886	1172	149
887	1173	147
888	1174	146
889	1175	145
890	1175	143
891	1176	142
892	1177	141
893	1178	139
894	1178	138
895	1179	136
896	1180	135
897	1181	134
898	1182	132
899	1182	131
900	1185	130
901	1187	129
902	1188	127
903	1189	126
904	1191	125
905	1192	123
906	1192	122
907	1193	120
908	1194	119
909	1195	118
910	1197	116
911	1202	116
912	1204	114
913	1205	113
914	1209	112
915	1211	111
916	1216	110
917	1217	108
918	1218	107
919	1219	106
920	1220	104
921	1221	103
922	1222	101
